sason.xyz,#genre#
辽宁卫视 FHD,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000159.m3u8
重庆卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
安徽卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000298003.m3u8
河北卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
河南卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
贵州卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
广西卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
海南卫视 FHD,http://218.98.46.179/live-cnc-cdn.ysp.cctv.cn/ysp/2000291503.m3u8
峨眉电影 HD,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
湖南潇湘电影 HD,http://124.232.231.246:6610/000000001001/201600020006/1400.m3u8?zte_auth=ae0fcdac&ztecid=201600020005&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=LPjne9%2Bz7%2B%2F905ByFWbN5McknogfJXrVwjUFLaeEL29vpHGrk2l%2FUHYgN1aASj376oO1xLnnHQM%2BvUxQhm38dnHm1eSuY7vi6YzamvW6l8OtgHpq%2BKs%2Bl9QddsFpnz4k&m3u8_level=2&terminal_flag=0&ispcode=8
天津卫视 HD,http://118.123.60.5:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8
吉林卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=011&Provider_id=&Pcontent_id=index.m3u8
山西卫视 HD,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=010&Provider_id=&Pcontent_id=index.m3u8
陕西卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=049&Provider_id=&Pcontent_id=index.m3u8
云南卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=013&Provider_id=&Pcontent_id=index.m3u8
甘肃卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
宁夏卫视 SD,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=017&Provider_id=&Pcontent_id=index.m3u8
青海卫视 SD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=016&Provider_id=&Pcontent_id=index.m3u8
西藏卫视 SD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=018&Provider_id=&Pcontent_id=index.m3u8
新疆卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=058&Provider_id=&Pcontent_id=index.m3u8
内蒙古卫视 SD,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=016&Provider_id=&Pcontent_id=index.m3u8
兵团卫视 SD,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000074.m3u8
康巴卫视 SD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=017&Provider_id=&Pcontent_id=index.m3u8
海峡卫视 SD,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=024&Provider_id=&Pcontent_id=index.m3u8
CCTV 4K 高码率,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
纯享4K,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
凤凰中文 FHD,http://220.158.149.14:9999/live/TV00000000000000000067@HHZT;LIVE
凤凰资讯 FHD,http://220.158.149.14:9999/live/TV00000000000000000066@HHZT;LIVE
凤凰中文 官方,http://qlive.fengshows.cn/PCC.flv
凤凰资讯 官方,http://qlive.fengshows.cn/PIN.flv
凤凰香港 官方,http://qlive.fengshows.cn/PHK.flv
凤凰电影,rtmp://58.200.131.2:1935/livetv/fhdy
有线新闻,https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8
有线新闻 ★,https://icable.cdn.utvhk.com/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c.m3u8
TVB 新闻,http://yeyuaihao.gz01.bdysite.com/dl/tvb.php?id=inews
TVB 财经新闻,http://yeyuaihao.gz01.bdysite.com/dl/tvb.php?id=j5_ch85
C+,https://ottproxy2.mott.tv/livehls:cmi/MOB-U1-NO/01.m3u8
RTHK31 ★,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
RTHK32 ★,https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8
开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
香港卫视HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
TVBS新闻 FHD ★,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
东森财经新闻 FHD ★,http://seb.sason.top/sc/dscjxw_fhd.m3u8
东森新闻 FHD ★,http://seb.sason.top/sc/dsxw_fhd.m3u8
华视新闻 FHD ★,http://seb.sason.top/sc/hsxw_fhd.m3u8
民视新闻 FHD ★,http://seb.sason.top/sc/msxw_fhd.m3u8
三立iNews FHD ★,http://seb.sason.top/sc/slinews_fhd.m3u8
三立Live FHD ★,http://seb.sason.top/sc/sllive_fhd.m3u8
台视新闻 FHD ★,http://seb.sason.top/sc/tsxw_fhd.m3u8
中视新闻 FHD ★,http://seb.sason.top/sc/zsxw_fhd.m3u8
中天新闻 FHD ★,http://seb.sason.top/sc/ztxw_fhd.m3u8
寰宇新闻 ★,http://125.227.198.89:8026
寰宇新闻台湾 ★,http://125.227.198.89:8002
壹新闻 ★,https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/playlist.m3u8
民视 ★,http://125.227.198.89:8015
民视第一台 ★,http://125.227.198.89:8024
民视台湾台 ★,http://125.227.198.89:8023
中视 ★,http://125.227.198.89:8020
中视经典 ★,http://125.227.198.89:8007
中视菁采 ★,http://125.227.198.89:8008
华视 ★,http://125.227.198.89:8019
公视 ★,http://125.227.198.89:8014
公视3 ★,http://125.227.198.89:8006
台视综合 ★,http://125.227.198.89:8004
台视财经 ★,http://125.227.198.89:8025
纬来精采 ★,https://usb.bozztv.com/ssh101/ttvbHD/ttvbHD/index.m3u8
FX Asia ★,http://125.227.198.89:8027
国家地理 悠人 ★,http://125.227.198.89:8030
大爱I,https://tv1.wanfudaluye.com/live/live.m3u8
大爱II,https://tv2.wanfudaluye.com/live/live.m3u8
大爱海外,https://tv3.wanfudaluye.com/live/live.m3u8
澳门有线I,http://202.175.127.77/live/show/ch1/index.m3u8
澳门有线II,http://202.175.127.77/live/show/ch2/index.m3u8
澳门有线III,http://202.175.127.77/live/show/ch3/index.m3u8
澳视,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳视澳门,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
澳视资讯,http://61.244.22.4/ch5/info_ch5.live/playlist.m3u8
澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
莲花卫视,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
莲花卫视 FHD,http://220.158.149.14:9999/live/TV00000000000000000069@HHZT;LIVE
NHK华语视界,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/zh/725580/livecom_zh.m3u8
新加坡8频道,http://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
NationalGeographic ★,http://livecdnh1.tvanywhere.ae/hls/nat_geo/05.m3u8
NationalGeographicPeople,http://livecdnh1.tvanywhere.ae/hls/nat_geo_people/05.m3u8
NationalGeographicWild ★,http://livecdnh1.tvanywhere.ae/hls/nat_geo_wild/05.m3u8
SCTV-2 文化旅游,http://scgctvshow.sctv.com/hdlive/sctv2/1.m3u8
SCTV-3 经济,http://scgctvshow.sctv.com/hdlive/sctv3/1.m3u8
SCTV-4 新闻,http://scgctvshow.sctv.com/hdlive/sctv4/1.m3u8
SCTV-5 影视文艺,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
SCTV-7 妇女儿童,http://scgctvshow.sctv.com/hdlive/sctv7/1.m3u8
SCTV-8 科教,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=020&Provider_id=&Pcontent_id=index.m3u8
SCTV-9 公共乡村,http://scgctvshow.sctv.com/hdlive/sctv9/1.m3u8
CDTV-1 新闻综合,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=1
CDTV-2 经济资讯,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=2
CDTV-3 都市生活,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=3
CDTV-4 影视文艺,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=45
CDTV-5 公共,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=5
CDTV-6 少儿,https://www.ootori.xyz/tv/cditv-hd.php?cid=192&id=6
CDTV-7 美食天府,https://www.ootori.xyz/tv/cditv-hd.php?cid=2763&id=17
